,Rs_down,Rs_up,Rd_down,Rd_up,Rs_coverage,Rd_coverage,R_oracle,metric,id_method,est_method,beta_zy
1,-0.5281390852975373,0.23269010523719835,-0.3608332156497017,0.09054222818161667,1.0,1.0,-0.06651990811638592,m_y=0,IV,plugin,0.4
2,-0.5533751741676652,0.5720439163043048,-0.21931117188294352,0.237979914019583,1.0,1.0,-0.0011832076363447186,m_a=0,IV,plugin,0.4
3,-0.17810925925693652,0.16614371534104844,-0.17810925925693644,0.16614371534104855,1.0,1.0,-0.005096641395068324,m_a=1,IV,plugin,0.4
4,-0.33547479079705467,0.3428747907970546,-0.16897729205834927,0.1763772920583493,1.0,1.0,-0.0002999999999999947,m_u,IV,plugin,0.4
0,-0.4730500928604795,0.18473432578055307,-0.3358158264250119,0.05751695088624444,1.0,1.0,-0.10809952355743782,m_y=1,IV,plugin,0.6
1,-0.4477229795581656,0.16757897970612762,-0.3100568058267824,0.041513462799223404,1.0,1.0,-0.09616295594504974,m_y=0,IV,plugin,0.6
2,-0.5100109048203321,0.4943467505752075,-0.22793209724822847,0.21226794300310386,1.0,1.0,-0.002406378991768987,m_a=0,IV,plugin,0.6
3,-0.13602118030423288,0.14828392376948232,-0.1360211803042329,0.14828392376948227,1.0,1.0,-0.008154942990466041,m_a=1,IV,plugin,0.6
4,-0.2773555362315693,0.28905553623156927,-0.13803681317170724,0.14973681317170726,1.0,1.0,-0.0003000000000000086,m_u,IV,plugin,0.6
0,-0.5441788517460615,0.17870039995942158,-0.39829438275082063,0.03525771977389388,1.0,1.0,-0.12658361486486483,m_y=1,IV,plugin,0.6
1,-0.5113178349673844,0.16866152906592102,-0.36180616838373536,0.02670386887110132,1.0,1.0,-0.11388677811550149,m_y=0,IV,plugin,0.6
2,-0.5423339932632507,0.5400405568102047,-0.24015385993783642,0.23786042348479047,1.0,1.0,-0.0033653889812117477,m_a=0,IV,plugin,0.6
3,-0.1549399446693497,0.14793126567168105,-0.15493994466934974,0.147931265671681,1.0,1.0,-0.008303150907952472,m_a=1,IV,plugin,0.6
4,-0.29952038509405293,0.305520385094053,-0.14611864041140646,0.15211864041140646,1.0,1.0,0.0,m_u,IV,plugin,0.6
0,-0.53715706909857,0.16334423406633572,-0.39572107231966613,0.0216356774715921,1.0,1.0,-0.11445470582131367,m_y=1,IV,plugin,0.6
1,-0.4935864903516701,0.16993317903009272,-0.34338658189634497,0.02978991320628286,1.0,1.0,-0.10257647399401718,m_y=0,IV,plugin,0.6
2,-0.5078072646193847,0.5197565663202885,-0.2158213557566563,0.22777065745755998,1.0,1.0,-0.0020012007204321947,m_a=0,IV,plugin,0.6
3,-0.16143469278456957,0.122394689670379,-0.16143469278456957,0.1223946896703791,1.0,1.0,-0.008454490237175538,m_a=1,IV,plugin,0.6
4,-0.2928551987009162,0.2829551987009162,-0.14694984004221082,0.13704984004221082,1.0,1.0,-0.001999999999999988,m_u,IV,plugin,0.6
0,-0.48375949012620245,0.17063257655587855,-0.3525987237287783,0.04517923717670932,1.0,1.0,-0.11489141675284383,m_y=1,IV,plugin,0.6
1,-0.4499067825376069,0.17709557849777943,-0.3115221633828137,0.05228742236291541,1.0,1.0,-0.09380445304937078,m_y=0,IV,plugin,0.6
2,-0.5287785767276636,0.48980967535458086,-0.24620052269961726,0.20723162132653467,1.0,1.0,-0.007932973334075666,m_a=0,IV,plugin,0.6
3,-0.14944814616631125,0.14269257514584596,-0.14944814616631122,0.142692575145846,1.0,1.0,-0.012119758943662406,m_a=1,IV,plugin,0.6
4,-0.2925619823401643,0.2822619823401644,-0.15282713462329547,0.1425271346232955,1.0,1.0,-0.007099999999999981,m_u,IV,plugin,0.6
0,-0.4928534994485679,0.17178968319059676,-0.35464049593294933,0.037545640324765366,1.0,1.0,-0.12363713348152854,m_y=1,IV,plugin,0.6
1,-0.4573169360610856,0.1678322758980853,-0.3139455092543549,0.03490440721045643,1.0,1.0,-0.10281436558324648,m_y=0,IV,plugin,0.6
2,-0.5272036244327752,0.49756003996679626,-0.23770747746828808,0.20806389300230924,1.0,1.0,-0.00741817444916304,m_a=0,IV,plugin,0.6
3,-0.14070337530648397,0.14145041393317748,-0.140703375306484,0.14145041393317742,1.0,1.0,-0.012284137917457194,m_a=1,IV,plugin,0.6
4,-0.2860852474028891,0.2855852474028891,-0.1409318793148952,0.1404318793148952,1.0,1.0,-0.004150000000000001,m_u,IV,plugin,0.6
0,-0.5392173000042753,0.17162859119059842,-0.39568927877364607,0.03051971133511116,1.0,1.0,-0.12087450073575783,m_y=1,IV,plugin,0.6
1,-0.501199726183265,0.17070689151083082,-0.3515797888978449,0.031119285832371328,1.0,1.0,-0.09593744039671943,m_y=0,IV,plugin,0.6
2,-0.5143127878546047,0.5299635637612999,-0.21952232781605002,0.2351731037227453,1.0,1.0,-0.010317385290092296,m_a=0,IV,plugin,0.6
3,-0.1604844242058941,0.12986518246743967,-0.1604844242058941,0.12986518246743967,1.0,1.0,-0.013771059709273281,m_a=1,IV,plugin,0.6
4,-0.2940118177772185,0.29111181777721856,-0.14716195010901256,0.14426195010901255,1.0,1.0,-0.007199999999999998,m_u,IV,plugin,0.6
0,-0.4877441357361719,0.17941673555353768,-0.3479608419557746,0.04524308599330443,1.0,1.0,-0.12163605296881677,m_y=1,IV,plugin,0.6
1,-0.45542247650082307,0.16901509698300213,-0.31213464480741465,0.03608615944435675,1.0,1.0,-0.09336216622790522,m_y=0,IV,plugin,0.6
2,-0.5206969697712426,0.5016989090801596,-0.22806925823508334,0.20907119754400044,1.0,1.0,-0.011518726961890269,m_a=0,IV,plugin,0.6
